City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
waitangi,-43.9535,-176.5597,7.12,80,99,3.58
albany,42.6001,-73.9662,19.94,75,47,2.24
vorgashor,67.5833,63.95,10.69,76,100,5.65
ushuaia,-54.8,-68.3,3.81,75,20,3.09
west island,-12.1568,96.8225,25.99,69,97,6.17
chonchi,-42.6128,-73.8092,8.53,97,100,1.61
grytviken,-54.2811,-36.5092,-9.44,63,100,3.74
san rafael,-34.6177,-68.3301,15.22,22,21,6.03
adamstown,-25.066,-130.1015,19.83,69,100,8.79
punta arenas,-53.15,-70.9167,4.06,93,75,3.6
fakenham,52.83,0.8477,19.28,87,29,2.87
utrik,11.2278,169.8474,27.76,78,100,7.5
ilulissat,69.2167,-51.1,17.01,29,20,6.17
am timan,11.0297,20.2827,22.09,96,88,2.04
queenstown,-31.8976,26.8753,9.4,30,98,3.02
bredasdorp,-34.5322,20.0403,9.36,84,100,1.69
wailua homesteads,22.0669,-159.378,27.79,71,20,6.17
tabas,33.5959,56.9244,35.12,14,0,1.03
thompson,55.7435,-97.8558,30.09,32,40,4.12
port-aux-francais,-49.35,70.2167,3.18,87,64,10.49
guatrache,-37.6678,-63.5302,11.14,43,28,6.92
salinopolis,-0.6136,-47.3561,27.06,76,18,6.52
al bawiti,28.3492,28.8659,29.93,30,2,2.93
chui,-33.6971,-53.4616,5.6,73,4,2.8
bubaque,11.2833,-15.8333,26.47,86,70,6.3
port blair,11.6667,92.75,27.02,89,40,1.03
pisco,-13.7,-76.2167,17.03,77,75,3.6
isafjordur,66.0755,-23.124,6.62,95,100,7.56
aioun,16.6614,-9.6149,34.06,38,43,2.75
puerto natales,-51.7236,-72.4875,7.25,65,75,6.69
edinburgh of the seven seas,-37.0676,-12.3116,11.13,63,47,1.72
kerikeri,-35.2268,173.9474,16.62,75,25,4.02
yichun,47.7,128.9,19.31,90,86,0.91
lihue,21.9789,-159.3672,29.67,65,20,6.17
rio grande,-32.035,-52.0986,8.3,70,20,5.74
hithadhoo,-0.6,73.0833,27.91,77,100,8.05
kyrenia,35.3417,33.3167,28.82,62,0,8.62
puerto ayora,-0.7393,-90.3518,20.86,94,74,2.68
lebu,-37.6167,-73.65,9.19,83,100,4.31
blackmans bay,-43.0167,147.3167,11.4,73,100,3.84
campo verde,-20.4167,-54.0667,15.34,38,100,1.35
pangody,65.85,74.4859,11.55,87,86,2.9
abu jibeha,11.4562,31.2285,23.02,80,99,0.32
lima,-12.0432,-77.0282,17.72,73,100,3.6
bereznik,62.8551,42.7072,14.2,70,86,2.02
kamiiso,41.8167,140.65,25.21,94,75,1.54
yellowknife,62.456,-114.3525,26.29,44,100,5.66
nar'yan-mar,67.6713,53.087,6.25,95,95,4.88
iskateley,67.6803,53.1512,6.23,95,93,4.82
fria,10.4167,-13.5833,22.54,98,96,0.91
liwale,-9.7667,37.9333,17.44,85,27,1.03
yerofey pavlovich,53.9667,121.9667,20.98,60,2,0.53
oranjemund,-28.55,16.4333,12.54,83,66,1.54
jamestown,42.097,-79.2353,21.12,62,20,4.12
